Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1605011.51","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","036","Australia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","94.1","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","048","Bahrain","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","8.49","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","537004","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","100","Bulgaria","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","4364.1","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","156","China, mainland","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","166.33","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","191","Croatia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","7008.61","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","818","Egypt","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","976","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","276","Germany","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1.34","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","348","Hungary","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","3851.7","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","2379.09","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","5.38","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","400","Jordan","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","391.6","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","498","Republic of Moldova","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","48","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","642","Romania","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","40095.4","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","710","South Africa","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","2366.16","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","729","Sudan","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","2328.54","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","3.23","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","433.73","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","784","United Arab Emirates","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","91.11","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","718049.47","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","887","Yemen","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","10451.59","A","Official figure"
