Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","048","Bahrain","5610","Import Quantity","23161.03","Rice, broken","2022","2022","t","0.03","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","116","Cambodia","5610","Import Quantity","23161.03","Rice, broken","2022","2022","t","2.4","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","23161.03","Rice, broken","2022","2022","t","203.64","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","23161.03","Rice, broken","2022","2022","t","2383","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","792","Türkiye","5610","Import Quantity","23161.03","Rice, broken","2022","2022","t","0.02","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","784","United Arab Emirates","5610","Import Quantity","23161.03","Rice, broken","2022","2022","t","50","X","Figure from international organizations"
