Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","2359820","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","048","Bahrain","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","22.68","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1268437.59","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","818","Egypt","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","201.13","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","250","France","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","55.87","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","276","Germany","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1.26","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","300","Greece","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","34.92","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1255.04","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","360","Indonesia","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","0.02","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3.08","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","117","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","600","Paraguay","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","183100","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","616","Poland","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","0.42","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","642","Romania","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","4620.16","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","710","South Africa","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","8080.91","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","724","Spain","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3452.26","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","6.3","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","21.91","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","784","United Arab Emirates","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1659.19","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","0.1","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","766317.13","X","Figure from international organizations"
