Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","414","Kuwait","5610","Import Quantity","0113","Rice","2021","2021","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","586","Pakistan","5610","Import Quantity","0113","Rice","2021","2021","t","0","A","Official figure"
