Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","2694644.38","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","036","Australia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1244.94","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1830851.87","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1977.95","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","124","Canada","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1039.68","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","156","China, mainland","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1039.13","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1018.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","276","Germany","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1018.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","348","Hungary","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","964.62","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","15.59","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","360","Indonesia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","6572.59","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","428","Latvia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1039.68","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","600","Paraguay","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","20139.3","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","335636.31","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","13528.88","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","688","Serbia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","54024.37","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","710","South Africa","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","303.35","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","724","Spain","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","3368.31","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","760","Syrian Arab Republic","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","432.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","10.45","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","21200.32","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1340186.22","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","302591.59","A","Official figure"
