Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.16493477,26.76187284,25.43842758,25.19740135,29.72220921,30.54464764,25.41179561,24.54036614,22.49060103,15.58986789,15.37852528,12.78737238,16.09366307,20.43705786,7.720647971,9.686731878,3.0409734,4.086741973,4.670889668,2.4299318,1.744808799,1.761088064,1.682354211,2.261074816,2.708261093,3.08583604,5.064081639,2.783041199,4.232732276,2.908074154,5.128852623,2.432817848,2.246065822,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61087783,10.84711676,9.384995803,10.24384239,8.135514205,8.984162228,8.320078782,11.50075942,8.706149782,9.175189475,7.103656342,6.09499147,5.087658341,3.026954636,1.279491099,1.096287641,0.850106943,0.645147458,0.585786186,0.635043266,0.768929631,0.65714196,0.446124159,0.480039992,0.544490697,1.340059812,0.763737305,0.691453049,0.734223632,1.012160634,1.134177155,1.297800222,1.879915691,
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
