Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","050","Bangladesh","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","12.43","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","156","China, mainland","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","27.77","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","1653.2","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","637.2","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","620","Portugal","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","50.12","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","764","Thailand","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","22.07","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","0.43","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","205.36","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","704","Viet Nam","5610","Import Quantity","23161.03","Rice, broken","2020","2020","t","188.76","A","Official figure"
