Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,,,,,,,,,,,,,,,,0,0,0,0,0,4000000,2000000,1000000,5000000,4000000,3000000,-1000000,5000000,11000000,10000000,6000000,-11000000,24000000,350640.561866436,82583302.703618,117189079.191142,239324706.532613,112918990.371739,47593027.4887399,79357457.3169451,509532974.710015,1054132218.32253,1261071114.73545,1237846245.27551,1837062923.45086,2640754960.27173,14036833331.6417,17026111929.0617,19256527246.1021,16095583746.9764,15968099287.9994,12607994609.7209,8553237671.30214,1764948800.03303,11686480933.1168,7514275638.80775,5047292605.54428,11090150305.4241,11417789536.2385,13140702031.5759,11122667603.5511,17238734439.443,14532249718.2391,13878566776.8188
China,,,,,,,,,,,,,,,,,,,,,,,44000000,93000000,134000000,629000000,450000000,645000000,850000000,780000000,830000000,913000000,4000000000,4400000000,2000000000,2000000000,2114000000,3765000000,4527000000,4036000000,4612000000,9696000000,6284049718.62298,8456083723.56331,7972601713.71155,13729566302.8637,23932198467.5382,17154799701.5885,56742276629.6973,43889985500,57953599366.3569,48420641059.6476,64963386524,72970879683.31,123129554305.76,174390681862.62,216424460753.575,138292767802.139,143026576683.861,136910000000,153720808338.11,178797739982.88,210050160759.03,185301449981.23
USA,,,,,,,,,,,6490000000,5620000000,7330000000,9340000000,5160000000,13730000000,11320000000,11280000000,14370000000,24720000000,19040000000,10110000000,7774000000,8770000000,12820000000,3680000000,19524000000,39797000000,21701000000,50980000000,59940000000,49270000000,58770000000,82800000000,89990000000,110060000000,103020000000,121380000000,174760000000,247485000000,186370000000,146041000000,178985000000,195218000000,374004000000,52591000000,283801000000,523890000000,343583000000,312597000000,349828000000,436616000000,377240000000,392796000000,387529000000,302071000000,299815000000,409413000000,-130720000000,114927000000,282331000000,341954000000,388510000000,454084000000
