Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,India,IND,27.16493477,26.76187284,25.43842758,25.19740135,29.72220921,30.54464764,25.41179561,24.54036614,22.49060103,15.58986789,15.37852528,12.78737238,16.09366307,20.43705786,7.720647971,9.686731878,3.0409734,4.086741973,4.670889668,2.4299318,1.744808799,1.761088064,1.682354211,2.261074816,2.708261093,3.08583604,5.064081639,2.783041199,4.232732276,2.908074154,5.128852623,2.432817848,2.246065822,..
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,China,CHN,10.61087783,10.84711676,9.384995803,10.24384239,8.135514205,8.984162228,8.320078782,11.50075942,8.706149782,9.175189475,7.103656342,6.09499147,5.087658341,3.026954636,1.279491099,1.096287641,0.850106943,0.645147458,0.585786186,0.635043266,0.768929631,0.65714196,0.446124159,0.480039992,0.544490697,1.340059812,0.763737305,0.691453049,0.734223632,1.012160634,1.134177155,1.297800222,1.879915691,..
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
