Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,,153.983404567158,160.074196266115,166.395408600308,206.61090773054,219.967534743152,242.049703100946,252.419222568476,226.835867044576,207.691501624227,212.766358664907,214.344493747479,199.87723859041,206.526484284051,169.541441560153,191.158286370849,145.600204542549,160.314972383938,173.052276559865,175.47672135512,183.053202752779,148.029388867264,132.351481127137,145.032608567361,152.249667071618,150.141679381483,135.56441783599,116.262330584029,119.232759070412,132.118677120043,132.502493379837,128.751462074966,124.391689432834,135.275568379785,129.282937810091,122.323912218476,128.156746926633,122.984938510516,122.865994285005,126.089684435893,113.68746025741,118.59459311618,113.401275032345,119.961055081536,121.48632440882,132.896008909816,152.551053782092,172.230339025303,188.965017924367,181.231008642721,171.491764074282,171.196237140606,159.54027888951,149.517841984085,154.546113601489,149.441673137188,144.728520036811,146.530556014768,152.701187574258,156.483317038389,176.042247195875,160.62028102616,,
China,,193.617021276596,175.150442477876,160.282776349614,141.399662731872,136.406495547407,142.70913277053,146.496469310158,200.595238095238,174.748490945674,167.248576850095,141.857719788754,132.639029322548,132.561201398889,124.652358596021,123.075264954194,115.926327193933,120.922812127631,120.243564904511,119.125802485999,121.004829240578,118.638427810836,122.618931875463,129.625661752941,131.860215972501,125.165702033336,121.198043838722,132.947554086679,142.468394312946,138.505343428291,142.365653138458,147.998762481225,140.707989290928,126.081538824897,134.747265483602,140.359306759892,132.866724381081,132.905267912982,125.913691312904,123.601402758388,119.973871975485,118.125187360952,125.729831846451,112.272776857806,109.75432319526,114.500634434033,109.319755385562,100.601694779151,98.1899672140489,95.5971771350347,93.0317144481009,93.5082924263443,93.9837876273356,92.6934686160538,87.4530852563535,84.766663212593,91.1512611991474,100.445150527601,103.146593673846,82.5133297829776,87.82104751252,83.4204045794174,,
USA,,92.0163994330786,93.6281842045712,92.3455844914401,92.1036074485094,90.5368409452778,93.2007828251877,94.6423494130203,97.6147417725072,97.5626630552546,96.3880432579644,98.0701303226618,96.4481646769452,96.4528579958317,96.6335871355962,97.886023763789,102.153905990428,101.212906490765,94.6439884788221,92.3978025590901,91.1041270479531,104.916435636364,97.3572473447145,94.5563640672783,88.4347125582229,101.709670623798,81.8563436139842,77.4742959655066,75.8420809564475,79.1859395848617,76.8450926284561,73.0166802824594,73.8439282397471,78.0950270800628,75.9099199969111,77.3015095947161,74.9435460311573,83.4668979833265,84.8611554054349,95.3829620714631,106.15279564166,102.811241348103,108.69341486428,130.333090182729,120.358072561072,118.474621289472,128.148696761254,117.530450671532,108.366007404721,135.3823402813,128.711123778198,131.050216227053,133.628071149749,127.151943147327,121.210471934582,123.115598940024,117.267979815222,110.404233304274,109.304070775873,105.437340325252,106.467421211241,112.265836006374,,
