Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316775332518.038,265995400854.861,283798978165.926,275444141432.969,323107987156.158,356252288641.836,389211880588.551,412313850436.229,417792779082.3,455260118903.94,463419538385.564,481232454354.65,511491219784.627,603194284371.778,704172929910.938,814484973025.502,932915277251.682,1211641639990.71,1191736971828.07,1333878515185.91,1657660502177.3,1807020595447.93,1806177396650.75,1833600950822.85,2015014420952.3,2079182865638.45,2268496715258.95,2622801076651.4,2673994276922.96,2808367623253.76,2638922006729.4,3129982849042.19,3307391497374.15,3497821553935.47
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361822783694.073,384152337595.819,427130409858.713,443808937179.759,563285859689.748,722711422468.786,851312277321.562,950598333545.843,1012416756142.5,1079533505535.59,1196666294912.7,1320227796231.71,1455612429036.42,1650062101027.22,1950215158876,2269852493002.16,2746976328855.88,3558368430352.97,4622902194395.89,5093159063347.92,6061119730117.08,7481168651253.95,8512367896275.43,9492643372933.55,10488924466576.8,11008790517157.1,11177613255021.7,12294360421956.4,13833878513962.5,14239959159195.7,14570138553468,17696312719649.2,17770852261279.9,17663711932160.3
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5902482000000,6097007000000,6435893000000,6734288000000,7170956000000,7575542000000,8046960000000,8590598000000,9136625000000,9691392000000,10385197000000,10749023000000,11056572000000,11539140000000,12322009000000,13170993000000,14071835000000,14557597000000,14723881000000,14436590000000,15185160000000,15861958000000,16640301000000,17140708000000,17984237000000,18608138000000,18983369000000,19837150000000,20883383000000,21760847000000,21479588000000,23777600000000,25926000000000,27525100000000
