Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,41.7413351235587,41.0924821983426,39.0659687962443,39.8253516773195,41.3437167112138,39.3846972551206,40.3516512370015,42.7515580249536,42.0860273766471,41.5849235839232,40.2896134621907,38.6333911913807,38.6268263019975,41.6038246201105,38.8780587034109,35.9969148409303,34.3120367117779,35.7771442643263,34.2739627109955,32.8255300200728,34.4088678062345,33.2976974188079,32.3267496865056,32.6065348775622,31.3805304117853,29.7181383564993,28.6411462697276,27.9723784011745,28.7698223693608,27.8396057996888,27.5848881365411,27.6627054102247,26.8969194477949,27.0545587671255,26.519937575032,24.4575477898552,25.199306058679,24.248674505748,24.180451549085,22.9725618865025,21.6110620465121,21.6188848861438,19.5345432709546,19.5919979784251,17.8146906487994,17.6202069548839,16.8094420944381,16.7501197597569,16.7909423598037,16.7442701563161,17.0265090136912,17.1919735580094,16.8453770661306,17.1484235433708,16.7919345144977,16.1745081068443,16.3638005616295,16.558331404936,16.0316306864525,16.7555683032799,18.6685376603755,17.3725615260311,16.639431040971,15.9660077048026
China,23.1752941976736,35.7948551489085,38.9864050937876,39.8542017143315,38.0297979454385,37.5490196078431,37.1790120188489,39.8060416898896,41.6432544005504,37.5191112017124,34.7984383910164,33.631812446579,32.4165491302304,32.9257673608592,33.4264596668671,31.952623786807,32.3596332731045,28.9907692307692,27.6854178198334,30.7032786969509,29.6339383575962,31.3155812068692,32.7857031035218,32.5681223829416,31.5396955614797,27.9343575172623,26.6384965309993,26.3208996403948,25.2376865324238,24.611551959103,26.5843081183771,24.034067384598,21.3288613741081,19.3074684038403,19.4742827285474,19.5965196106392,19.3254855475406,17.8952767359135,17.1590347605501,16.0647884669624,14.6762416552585,13.9834613522186,13.3014877126424,12.3489989652141,12.916648166837,11.6414956029627,10.6257605278405,10.2461657566004,10.1690478477936,9.63618551442703,9.32517694053669,9.17765379535199,9.11371387030751,8.94289396230057,8.64349139629661,8.38701488219603,8.0572875346436,7.46356501656873,7.04302025319625,7.1436902775818,7.69864253416333,7.24101746939763,7.32176000478118,7.1201238792875
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33691209333386,1.21399707177139,1.15124131310291,1.1505549143143,1.12925705700728,0.973712301131986,1.1210468251509,1.26548334003973,1.15050675283148,1.00948747512139,1.07512389607238,1.05300030562235,0.960285754997542,1.02943688973818,1.20055880447177,1.14932980065793,1.31815003575389,1.16824049198161,1.02890409132672,0.937140437714336,0.940362226343714,0.898498260790929,0.833339957749021,0.937167526069329,0.948221772701748,,
