Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","076","Brazil","5610","Import Quantity","0111","Wheat","2020","2020","t","62460","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","428","Latvia","5610","Import Quantity","0111","Wheat","2020","2020","t","70100","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","422","Lebanon","5610","Import Quantity","0111","Wheat","2020","2020","t","1.65","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","440","Lithuania","5610","Import Quantity","0111","Wheat","2020","2020","t","130500","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","616","Poland","5610","Import Quantity","0111","Wheat","2020","2020","t","448613.3","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","643","Russian Federation","5610","Import Quantity","0111","Wheat","2020","2020","t","61700","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","887","Yemen","5610","Import Quantity","0111","Wheat","2020","2020","t","29.55","A","Official figure"
