Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1588207.35","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3497432.81","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","29754.91","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1.07","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","300","Greece","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","12.27","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","454.84","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","498","Republic of Moldova","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","56594.49","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","279576.18","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","2456.99","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","710","South Africa","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3391.09","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","724","Spain","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","2510","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3716.94","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","21250.02","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","868006.15","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","26606.4","A","Official figure"
