Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,,2.17128993748636,2.88576898532227,3.45399123642599,4.9019856465397,4.95904333316479,6.93990793870988,9.63199399173864,10.9996314089549,12.3893584037606,14.0545590433483,16.630361300984,17.2792878279001,17.6256178435707,15.9336474696751,21.5882549215883,21.0839396014982,26.5076299372451,31.4324395518228,32.2612026137393,33.9727608778415,37.3489982321744,35.9304362740894,40.7756310989848,48.890708846215,52.9864253393665,58.8559993635601,51.1179191813976,66.0964707615984,69.2107710000245,73.523024122257,77.9993197779167,74.7016643516527,76.1767372344482,83.4558929395478,85.702855272341,89.0423288309269,100.172560813361,104.067951601212,112.171020344774,103.786118188032,108.182198658974,100.329055300688,105.177203862352,115.271510073208,127.614591957051,136.403921543911,142.835225474934,153.349390803506,167.457295914491,179.035876924253,180.748291172705,163.122021642201,156.495698086192,163.498079418137,171.038212936265,166.003057888777,170.569144633223,176.071313435643,186.456666096266,210.657379533459,193.245040717537,,
China,,7.09551656920078,9.67350928641251,12.2135161606268,16.4573110893032,25.6173143138219,36.7490118577075,26.7772041302621,26.8954509177973,34.8235765838011,44.3896051571313,46.1952453211937,53.3306230307958,65.8067810457516,56.6290879544993,70.6423342612641,66.3200303248235,94.5313092652988,112.630923986311,135.844942081735,159.445801923577,156.550263456969,161.214355948869,173.656104380242,175.985964912281,143.871773522065,143.760995850622,188.750133111481,209.445037220844,208.086710310966,220.304523424879,237.51031031031,237.607811228641,206.754328112119,238.956089478045,297.543067402576,301.527581092518,299.453331569209,300.992527690388,306.107833727809,287.448487903226,295.448526102869,333.508933120848,328.658254602381,352.264351239697,375.104993176394,374.765136923592,385.314639755194,372.658105367898,383.967595807046,425.239347785733,444.649804769127,457.333238953802,458.516151953076,477.579278064343,480.242062821883,474.319184051475,467.319479918298,450.371816833147,399.598971711768,385.322990859199,374.805087542026,,
USA,,41.3342780822676,46.7255366893475,51.0648342187622,55.0294807997033,61.038199039548,69.2435058194132,76.2348037962714,76.8567781767956,76.1347999408171,80.6353254563276,82.8753588816839,85.7231308219361,91.5438432504678,88.7037791732807,95.6487429211892,105.194879070316,102.81232996698,104.885324945035,110.179319223332,112.830980795211,106.99803374745,93.2429035762789,98.8041361808644,105.161785316752,98.5597665699145,93.1496548345006,94.8042592951513,95.6284273885282,98.8001560363115,100.441282287425,100.79727853896,102.80303938505,108.885530347801,108.057701647255,108.772800444349,112.872082555892,113.862860263976,112.34110248781,111.86022626705,108.751459274212,110.130264595211,111.881760060586,124.189786407062,119.230505964126,115.915929274328,126.65110394555,120.381693781679,99.9746373862011,118.931868033771,124.700400401987,130.227726557604,134.897690369821,135.555101013543,127.975219107325,129.026289363663,127.815233251268,127.716580087843,129.154546878091,128.840691836021,131.152168422334,128.740929573822,,
