Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,14.7501180851245,15.3538364833701,15.8632981306598,15.7523883535285,14.8507399615767,15.0109077671991,14.5039929678896,13.2318612541203,13.5227880138949,14.146471583296,14.4565450929442,14.9822867425754,15.102549377401,15.0152853129175,16.3459133787071,15.8384866597931,16.2658888327907,16.0808689293586,17.0964405197176,17.852034489291,16.7523757975509,16.7704437520438,16.3699959373704,16.6644546925096,16.7078036003209,16.4180128626663,16.2215838096135,16.2095493538891,16.1015348492608,16.9028458965669,16.597596442222,15.6762601605127,15.8007998170807,15.9157121078439,16.764138131312,17.8658505968554,17.5963408006414,16.5185785304333,15.7193160164939,15.1805367132738,15.9270230184323,15.3070212831531,15.5587017262956,15.587386648646,15.8272457405027,15.9730170446131,17.3036533311925,16.8645677754068,17.0986741489578,17.1435776672846,17.0299342498624,16.1393374446237,15.816923007102,15.2530226925869,15.0655701107533,15.5838545863754,15.1622371332496,15.018238750171,14.881530667305,13.4558075633363,14.1204853576944,14.3770288531284,13.1224776705138,12.8387897885217
China,21.8053927314753,22.1665623050072,23.6241373201967,23.6626227619058,24.2650418884544,23.7758817454926,22.7739726026255,23.5933653733997,25.4356284889258,25.0564860569382,25.4712092423636,24.4347490529889,23.3757372349219,27.0873733917457,29.5512586092161,20.276681928212,23.2627954971174,21.7443857233057,22.3944099683821,21.2406245357373,21.4317790693043,22.0406444679114,19.4102975532172,20.8692186771056,22.9581526472854,21.9461545925272,17.8677290567348,17.5082302696423,18.0586152571639,18.0349860593959,18.5120248713047,19.0763833647238,18.9870914494034,19.271304562679,19.2386978657809,19.3498795224834,15.2270914078068,14.880537904494,14.417555794262,14.6831056227199,15.1925267292474,15.9367790320988,15.7836753202164,15.1937580372309,14.2216397907349,12.8191999709615,11.6836771075018,10.6421663942592,9.97400639748764,10.2611598845867,9.88717399014788,9.90905378571426,9.82773286975095,9.98503250387017,9.92046516190012,10.3988647878915,9.70592487556683,9.16084501948169,9.60421381910793,8.96909548434668,8.99628171941755,8.52542771996868,9.47302208758837,9.20611817476078
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0871819838574,15.7743273531839,15.4590709001978,15.1150690882174,13.9193104206237,13.4528837394598,13.3165025029569,13.1741780601703,12.9833217030159,12.9907263775984,12.7697556443079,12.2167268184361,11.6987879252113,11.9060799107128,11.9472438629074,11.8575622570978,11.7719128367022,11.6174420373125,11.6055807430427,11.1581029329942,11.1814907295506,11.2802494089516,10.9858873088849,10.4982254800579,10.5837429051441,,
